"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2010";"Mortalidade infantil 2010";"Taxa de analfabetismo - 15 anos ou mais 2010";"% de pobres 2010";"% de vulneráveis à pobreza 2010"
"Morros";"MA";2107100;67,34;38,6;29,78;62,65;80,5
"Nina Rodrigues";"MA";2107209;71,45;24,9;28,43;66,3;83,38
"Nova Colinas";"MA";2107258;69,96;29,5;22,53;53,7;78,76
"Nova Iorque";"MA";2107308;68,74;33,5;30,8;41,97;67,31
"Nova Olinda do Maranhão";"MA";2107357;70,32;28,4;27,87;43,72;74,1
"Olho D'Água das Cunhãs";"MA";2107407;70,24;28,6;34,43;43,49;70,77
"Olinda Nova do Maranhão";"MA";2107456;68,43;34,6;25,88;60,42;79,71
"Paço do Lumiar";"MA";2107506;72,74;21,3;5,76;19,04;44,76
"Palmeirândia";"MA";2107605;67,9;36,5;26,15;60,2;83,15
"Paraibano";"MA";2107704;68,37;34,8;30,64;41,77;64,81
"Parnarama";"MA";2107803;70,5;27,8;35,89;54,7;78,42
"Passagem Franca";"MA";2107902;68,04;36;35,41;50,54;74,47
"Pastos Bons";"MA";2108009;70,18;28,8;24,41;47,87;71,56
"Paulino Neves";"MA";2108058;68,18;35,5;30,06;63,86;83,14
"Paulo Ramos";"MA";2108108;65,64;45,3;36,33;49,3;74,97
"Pedreiras";"MA";2108207;72,49;22;19,23;28,4;54,25
"Pedro do Rosário";"MA";2108256;66,77;40,7;28,65;64,9;83,77
"Penalva";"MA";2108306;66,57;41,5;20,8;48,09;76,08
"Peri Mirim";"MA";2108405;69,61;30,6;22,49;51,21;79,54
"Peritoró";"MA";2108454;71,44;25;36,67;61,02;82,16
"Pindaré-Mirim";"MA";2108504;70,3;28,4;20,06;42,06;65,83
"Pinheiro";"MA";2108603;71,26;25,5;17,8;36,43;61,35
"Pio Xii";"MA";2108702;68,64;33,9;31,5;47,24;74,32
"Pirapemas";"MA";2108801;69,47;31,1;30,09;59,87;79,42
"Poção de Pedras";"MA";2108900;68,91;33;31,61;46,16;71,36
"Porto Franco";"MA";2109007;72,74;21,3;15,4;23,3;47,8
"Porto Rico do Maranhão";"MA";2109056;71,31;25,3;15,45;49,64;75
"Presidente Dutra";"MA";2109106;72,3;22,5;21,59;28,8;57,21
"Presidente Juscelino";"MA";2109205;69,6;30,6;28,34;68,31;85,89
"Presidente Médici";"MA";2109239;70,69;27,2;25,72;50,95;77,3
"Presidente Sarney";"MA";2109270;70,13;28,9;30,36;55,46;79,82
"Presidente Vargas";"MA";2109304;71,1;26;28,75;63,81;83,36
"Primeira Cruz";"MA";2109403;68,29;35,1;26,12;71,42;87,67
"Raposa";"MA";2109452;69,11;32,3;15,27;33,44;64,38
"Riachão";"MA";2109502;70,43;28;20,09;46,22;66,34
"Ribamar Fiquene";"MA";2109551;69,65;30,5;21,84;36,86;65,65
"Rosário";"MA";2109601;70,11;29;18,1;39,7;65,17
"Sambaíba";"MA";2109700;68,66;33,8;22,05;49,23;72,97
"Santa Filomena do Maranhão";"MA";2109759;68,31;35;31,5;66,16;86,03
"Santa Helena";"MA";2109809;69,73;30,2;22,82;46,24;72,5
"Santa Inês";"MA";2109908;72,25;22,7;17,59;24,38;53,23
"Santa Luzia";"MA";2110005;67,02;39,8;33,3;51,91;77,94
"Santa Luzia do Paruá";"MA";2110039;68,4;34,7;23,86;36,28;63,22
"Santa Quitéria do Maranhão";"MA";2110104;70,61;27,4;32,83;57,13;80,09
"Santa Rita";"MA";2110203;69,59;30,7;22,12;44,19;67,24
"Santana do Maranhão";"MA";2110237;70,45;27,9;34,33;70,94;86,87
"Santo Amaro do Maranhão";"MA";2110278;69,27;31,7;24,54;69,53;87,67
"Santo Antônio dos Lopes";"MA";2110302;67,86;36,6;30,57;47,84;72,7
"São Benedito do Rio Preto";"MA";2110401;69,95;29,5;31,01;66,57;85,31
"São Bento";"MA";2110500;70,72;27,1;19,71;52,46;73,94
"São Bernardo";"MA";2110609;70,7;27,2;29,24;55,34;76,94
"São Domingos do Azeitão";"MA";2110658;68,92;32,9;29,99;52,93;76,65
"São Domingos do Maranhão";"MA";2110708;67,76;37;27,83;49,91;73,27
"São Félix de Balsas";"MA";2110807;71,65;24,4;29,59;55,13;73,3
"São Francisco do Brejão";"MA";2110856;69,86;29,8;26,65;39,42;69,87
"São Francisco do Maranhão";"MA";2110906;68,96;32,8;36,08;54,8;77,73
"São João Batista";"MA";2111003;70,09;29,1;22,03;61,22;84,89
"São João do Carú";"MA";2111029;66,01;43,7;34,87;56,58;81,41
"São João do Paraíso";"MA";2111052;70,16;28,8;21,15;43,8;70,54
"São João do Soter";"MA";2111078;67,63;37,5;39,71;59,16;79,52
"São João dos Patos";"MA";2111102;68,55;34,2;24,13;32,44;59,73
"São José de Ribamar";"MA";2111201;72,38;20,49;6,7;20,24;48,11
"São José dos Basílios";"MA";2111250;68,13;35,7;32,47;54,45;78,77
"São Luís";"MA";2111300;73,76;18,1;4,65;13,81;35,27
"São Luís Gonzaga do Maranhão";"MA";2111409;67,94;36,4;35,51;55,21;79,69
"São Mateus do Maranhão";"MA";2111508;68,37;34,8;31,39;42,03;65,65
"São Pedro da Água Branca";"MA";2111532;69,09;32,3;28,44;39,05;69,44
"São Pedro dos Crentes";"MA";2111573;69,29;31,7;19,1;40,81;65,66
"São Raimundo das Mangabeiras";"MA";2111607;69,96;29,5;20,24;38,95;66,02
"São Raimundo do Doca Bezerra";"MA";2111631;66,99;39,9;38,05;58,8;81,1
"São Roberto";"MA";2111672;69,27;31,7;34,74;63,71;82,67
"São Vicente Ferrer";"MA";2111706;70,72;27,1;26,28;57,66;82,75
"Satubinha";"MA";2111722;68,19;35,5;30,35;69,89;89,94
"Senador Alexandre Costa";"MA";2111748;66,32;42,5;34,08;47,2;74,16
"Senador La Rocque";"MA";2111763;69,6;30,6;29,58;40,06;67,21
"Serrano do Maranhão";"MA";2111789;69,12;32,2;32,56;71,98;88,02
"Sítio Novo";"MA";2111805;71,41;25;20,95;58,69;79,18
"Sucupira do Norte";"MA";2111904;68,87;33,1;25,86;56,71;74,45
"Sucupira do Riachão";"MA";2111953;70,63;27,4;32,99;44,48;72,34
"Tasso Fragoso";"MA";2112001;71,6;24,5;17,8;43,65;69,54
"Timbiras";"MA";2112100;68,78;33,4;37,82;62,89;82,56
"Timon";"MA";2112209;71,09;26;17,26;25,6;55,07
"Trizidela do Vale";"MA";2112233;69,29;31,7;24,81;33,33;64,89
"Tufilândia";"MA";2112274;67,56;37,7;34,12;50,52;80,25
"Tuntum";"MA";2112308;68,57;34,1;29,84;51,89;73,56
"Turiaçu";"MA";2112407;71,54;24,7;24,84;59,12;78,82
"Turilândia";"MA";2112456;71,45;24,9;30,36;57,75;80,47
"Tutóia";"MA";2112506;68,33;35;28,94;48,27;73,92
"Urbano Santos";"MA";2112605;71,21;25,6;30;58,13;79,93
"Vargem Grande";"MA";2112704;71,1;26;32,02;63,72;81,13
"Viana";"MA";2112803;70,47;27,9;17,79;44,43;68,56
"Vila Nova dos Martírios";"MA";2112852;68,09;35,8;28,17;36,31;69,64
"Vitória do Mearim";"MA";2112902;68,97;32,8;25,05;48,81;71,48
"Vitorino Freire";"MA";2113009;66,26;42,7;32,75;44,92;70,98
"Zé Doca";"MA";2114007;69,7;30,3;24,21;41,2;68,08
"Acauã";"PI";2200053;66,53;39,8;30,41;49,62;73,12
"Agricolândia";"PI";2200103;69,53;29,3;27,47;41,1;65,81
"Água Branca";"PI";2200202;70,79;25,5;24,14;30,26;56,11
"Alagoinha do Piauí";"PI";2200251;67,95;34,6;44,4;48,56;69,96
"Alegrete do Piauí";"PI";2200277;69,94;28;35,26;39,16;63,35
"Alto Longá";"PI";2200301;70,05;27,7;32,83;43,49;69,67
"Altos";"PI";2200400;71,03;24,8;26,04;36,67;63,75
"Alvorada do Gurguéia";"PI";2200459;69,96;28;25,8;56,77;78,11
"Amarante";"PI";2200509;70;27,8;27,95;38,76;61,45
"Angical do Piauí";"PI";2200608;69,2;30,4;24,89;35,52;61,96
"Anísio de Abreu";"PI";2200707;71,09;24,6;29,18;48,41;67,6
"Antônio Almeida";"PI";2200806;71,85;22,5;24,8;33,76;63,33
"Aroazes";"PI";2200905;70,11;27,5;30,77;43,99;64,66
"Aroeiras do Itaim";"PI";2200954;69,27;30,1;36,64;45,57;77,84
"Arraial";"PI";2201002;70,66;25,8;31,52;52,58;76,84
"Assunção do Piauí";"PI";2201051;67,35;36,7;39,32;63,17;84,18
"Avelino Lopes";"PI";2201101;68,3;33,4;23,12;50,65;73,06
"Baixa Grande do Ribeiro";"PI";2201150;70,07;27,6;20,62;47,37;73,59
"Barra D'Alcântara";"PI";2201176;71,59;23,2;31,12;47,56;69,61
"Barras";"PI";2201200;71,74;22,8;32,16;38,78;66,74
"Barreiras do Piauí";"PI";2201309;68,81;31,7;20,38;42,95;66,36
"Barro Duro";"PI";2201408;68,72;32;27,69;29,64;55,61
"Batalha";"PI";2201507;70,31;26,9;35,73;46,11;71,76
"Bela Vista do Piauí";"PI";2201556;67,52;36,1;22,61;53,46;78,52
"Belém do Piauí";"PI";2201572;66,77;38,9;36,69;43,41;78,41
"Beneditinos";"PI";2201606;71,82;22,6;32,71;46,15;66,93
"Bertolínia";"PI";2201705;70,47;26,4;24,93;32,82;57,68
"Betânia do Piauí";"PI";2201739;67,1;37,6;38,63;62,59;80,78
"Boa Hora";"PI";2201770;71,31;24;37,91;48,93;72,77
"Bocaina";"PI";2201804;71,37;23,8;22,86;34,28;55,35
"Bom Jesus";"PI";2201903;72,93;19,6;18,17;31,29;52,2
"Bom Princípio do Piauí";"PI";2201919;71,19;24,3;34,36;56,16;76,9
"Bonfim do Piauí";"PI";2201929;67,42;36,5;33,23;40,59;63,68
"Boqueirão do Piauí";"PI";2201945;68,71;32;32,8;40,01;62,64
